scheme,cfl,steps,rho_l1,rho_l2,rho_linf,u_l1,u_l2,u_linf,p_l1,p_l2,p_linf,T_l1,T_l2,T_linf,Mach_l1,Mach_l2,Mach_linf
rusanov,0.4,18,4.148187908545488e-07,5.268369366717855e-07,1.2674859924185323e-06,2.909597976124696e-07,3.7007498345323616e-07,8.343951815567682e-07,5.180341611471791e-07,6.574432213579603e-07,1.4499150132329502e-06,1.4058525365281925e-07,1.655235639998074e-07,3.5843469077942223e-07,2.2726046668121246e-07,2.895841599041799e-07,6.981411804693374e-07
rusanov,0.2,36,5.142994163978353e-08,6.535127824722133e-08,1.5608757672077648e-07,3.6143391864996495e-08,4.593507406420684e-08,1.0261904300964725e-07,6.430812347301084e-08,8.173404164203193e-08,1.7824690977750764e-07,1.7427385839239544e-08,2.0564783843309036e-08,4.4634846223377106e-08,2.8176977135047245e-08,3.590295806288141e-08,8.601328381618787e-08
rusanov,0.1,72,6.354482460289541e-09,8.083888168355465e-09,1.9191794505838512e-08,4.469682834694071e-09,5.683473236897581e-09,1.2607931922460559e-08,7.95565860224443e-09,1.0120797635682588e-08,2.189651590742636e-08,2.1533708971649967e-09,2.5454449535600883e-09,5.51897171503268e-09,3.481416084995075e-09,4.439992506476308e-09,1.057744000966692e-08
steger-warming,0.4,18,4.115788734969715e-07,5.15863789028431e-07,1.1378320844447982e-06,2.910594722240408e-07,3.6941096880031605e-07,8.355712793259389e-07,5.113886665598778e-07,6.531878161785065e-07,1.4313376891398242e-06,1.4679776676974946e-07,1.8159064640341947e-07,3.920561781208177e-07,2.3049919268830637e-07,2.8696997363634413e-07,6.475448616685394e-07
steger-warming,0.2,36,5.1132724756105565e-08,6.393332489155266e-08,1.406531062033997e-07,3.610746218356466e-08,4.5793676576223586e-08,1.0270127821310377e-07,6.338951378357689e-08,8.111821411712944e-08,1.7572912003036315e-07,1.8152275590429366e-08,2.2530614920447974e-08,4.982501948822171e-08,2.860960394883845e-08,3.55294185368015e-08,7.894860865323768e-08
steger-warming,0.1,72,6.321879946207659e-09,7.901889606496058e-09,1.7375372116137473e-08,4.46091454595169e-09,5.6602874985791284e-09,1.2609649134703875e-08,7.831791499886109e-09,1.0035224228602531e-08,2.1565024378938926e-08,2.248828730195058e-09,2.785712993147357e-09,6.205144189083305e-09,3.5355755422182266e-09,4.3892439849485096e-09,9.757053460769869e-09
