scheme,strength,energy_increment,ratio_to_1x
rusanov,1.0,99.99999999994179,1.0
rusanov,2.0,199.99999999976717,1.9999999999988358
rusanov,4.0,399.9999999998254,4.000000000000582
steger-warming,1.0,99.99999999994179,1.0
steger-warming,2.0,199.99999999976717,1.9999999999988358
steger-warming,4.0,399.9999999998254,4.000000000000582
