scheme,rho_error,rhou_error,rhoE_error,u_error,p_ratio,T_ratio,steps,min_rho,min_p,min_T,min_mach,max_mach,all_finite,physical
rusanov,0.0,0.0,2.3283064365386963e-10,0.0,1.0007999999999988,1.000799999999999,9,1.0,100079.99999999991,348.71080139372793,1.3357720075781285,1.3357720075781285,True,True
steger-warming,0.0,0.0,2.3283064365386963e-10,0.0,1.0007999999999988,1.000799999999999,9,1.0,100079.99999999991,348.71080139372793,1.3357720075781285,1.3357720075781285,True,True
