scheme,steps,final_time,min_rho,min_p,min_T,min_mach,max_mach,all_finite,physical
rusanov,27,0.0003,1.000029999999999,100898.52170182376,351.55224681874125,1.3204278326070544,1.3204278326070544,True,True
steger-warming,27,0.0003,1.000029999999999,100898.52170182376,351.55224681874125,1.3204278326070544,1.3204278326070544,True,True
