quantity,relative_l1,relative_l2,relative_linf
rho,0.0023274498777925883,0.002641766309365085,0.005014402932139245
u,0.0015725036028383158,0.0017770260377003464,0.003464386790464893
p,0.0027002355237325058,0.0030447283123156135,0.005568058810839178
T,0.000557178784362014,0.0006317759255661426,0.001111903632440515
Mach,0.0017896500936478493,0.0020230809143001243,0.003977098081229156
