x_mid_m,delta_specific_momentum_m_per_s
0,0
0.0002539154231469,0.0778436978436713
0.0005190184718613,-0.00325833555343239
0.0007957898363551,-0.0437567874629407
0.0010847297118328,-0.0324201935070001
0.0013863585826511,-0.0556691735401613
0.0017012178382418,-0.0780584006344083
0.0020298704787072,-0.101479299679544
0.0023729020271174,-0.123025322110856
0.002730921081479,-0.142152217154937
0.0031045598066187,-0.132153610979697
0.0034944758850789,-0.208183724236356
0.0039013515783686,-0.231216658409447
0.0043258956515827,-0.273279594121063
0.0047688443368503,-0.319540917684127
0.0052309611581621,-0.0906221621274728
0.0057130382626809,-0.272994630472789
0.006215897244052,-0.463242377148444
0.0067403901408859,-0.380832387518674
0.0072874001199303,-0.354193550315896
0.0078578408454502,-0.399580085484802
0.0084526602103996,-0.435166492444402
0.0090728382168357,-0.443463670276726
0.009719388675091,-0.483409550878882
0.0103933608503942,-0.514222935354261
0.0110958379739046,-0.562773847901642
0.0118279408162294,-0.580143705184322
0.0125908246219064,-0.620466129041594
0.0133856829281624,-0.667754568404617
0.0142137455329137,-0.688629325855535
0.0150762805267657,-0.794300693930459
0.0159745932419784,-0.51421844197602
0.0169100281268114,-0.745210943453401
0.0178839664682825,-1.01784056694987
0.0188978287920298,-0.950444626902785
0.0199530726901735,-0.959371092748508
0.0210511938373163,-1.00554934887239
0.0221937249745431,-1.05086307530295
0.0233822352087314,-1.1006311828023
0.0246183299249654,-1.16410398899751
0.0259036494552252,-1.22383666056656
0.0272398660128698,-1.27142295174935
0.028628685619534,-1.33416806610132
0.0300718442338173,-1.40195897396773
0.0315711091701811,-1.46701406169804
0.0331282678879143,-1.52636316532979
0.0347451404283741,-1.61482396842546
0.0364235587446418,-1.48806508461669
0.0381653779125571,-1.67790632933351
0.0399724728024421,-1.93091972641699
0.0418467177591018,-1.93903813825302
0.0437900021921686,-1.95101277707902
0.0458042179636885,-2.0565312192637
0.0478912506295007,-2.13721289416146
0.0500529771619965,-2.24126071891097
0.0522912668259809,-2.3327089805277
0.054607962610397,-2.45558393111379
0.0570048871841882,-2.54602411272795
0.0594838188976782,-2.6407404185059
0.0620465128032592,-2.73955944113757
0.0646946551105663,-2.83080666545464
0.0674299040016484,-2.95989228737696
0.0702538206130378,-3.00680416404004
0.073167904770924,-3.3579475460442
0.0761735779994276,-3.31798886935254
0.079272161448877,-3.44734049437524
0.0824648816764993,-3.56065457503551
0.0857528373636602,-3.65399130417707
0.0891370173586239,-3.77253753443423
0.0926182694958627,-3.87654692950919
0.0961972930636439,-3.93532546845042
0.0998746433585128,-3.94954746333226
0.103650702957016,-4.05533423217198
0.107525677686738,-4.09762218148019
0.111499587867678,-3.81055792897749
0.115572253772942,-5.70716348534748
0.119743299482534,-5.51050223409925
0.124012125030945,-2.56233512045414
0.128377913238873,-1.68277087814051
0.132839613422194,-5.479050635966
0.13739594086644,-5.69189692256123
0.142045363513699,-5.29120683511931
0.146786109144682,-4.03753266881996
0.151616140854586,-4.69104983641913
0.156533183854473,-4.43779669992082
0.161534695516787,-4.82056167572355
0.166617884293977,-4.14403693134657
0.171779700434354,-5.64372308316714
0.177016857177958,-4.63778590054998
0.182325801327592,-5.90648765754188
0.187702759143989,-4.99928609273478
0.193143717777545,-5.95960750272628
0.198644438756585,-5.32995871166476
0.204200484263232,-6.48720960076398
0.209807206097543,-5.02355047201167
0.215459775631989,-7.54200598774004
0.22115320062801,-5.914519973494
0.226882326812566,-5.73822289255422
0.23264187326296,-7.6172713073358
0.238426437837191,-7.2625979388815
0.24423053028153,-7.71130720278691
0.250048572230528,-8.22362894033924
0.255874960093908,-7.75349614094688
0.261704011278635,-8.76028201903272
0.267530060008226,-8.85673068698647
0.273347458724129,-9.56068633437949
0.279150603660893,-8.71964403775224
0.284933906818587,-8.86032705275582
0.290691888804174,-9.00641646784891
0.296419142045303,-8.92428852308838
0.302110355314455,-9.3802957797877
0.307760487149621,-9.75333635897601
0.313364506599137,-9.97843010781476
0.318917550876854,-10.5141823828461
0.324415049734554,-10.6715843797386
0.329852492482635,-10.4795687962237
0.335225745052181,-11.4854192588636
0.340530788988067,-11.4817381441254
0.345763798524825,-10.2269271881126
0.350921282476289,-17.2878669122249
0.356,-11.8476014832952
