x_mid_m,delta_h0_eff_J_per_kg
0,0
0.0002539154231469,99.5566957243718
0.0005190184718613,957.566131124273
0.0007957898363551,1445.28698443668
0.0010847297118328,1684.92950121127
0.0013863585826511,1843.08028854802
0.0017012178382418,1770.71967522567
0.0020298704787072,1676.05860590003
0.0023729020271174,1523.5389132821
0.002730921081479,1309.45360761089
0.0031045598066187,1073.68006942281
0.0034944758850789,880.828625170514
0.0039013515783686,550.615810311865
0.0043258956515827,261.843402464408
0.0047688443368503,-147.814519738313
0.0052309611581621,-541.936368002556
0.0057130382626809,-1052.81151240924
0.006215897244052,-1719.01129430486
0.0067403901408859,-2510.15476968791
0.0072874001199303,-3745.24153864896
0.0078578408454502,-3675.55589776067
0.0084526602103996,-3598.17691562278
0.0090728382168357,-3729.44201517943
0.009719388675091,-4017.97816890897
0.0103933608503942,-4264.32191708358
0.0110958379739046,-4491.32338292431
0.0118279408162294,-4752.62657652982
0.0125908246219064,-4951.72970636329
0.0133856829281624,-5206.4437805987
0.0142137455329137,-5489.68370330101
0.0150762805267657,-5800.036679585
0.0159745932419784,-5866.63020906271
0.0169100281268114,-6295.51816235995
0.0178839664682825,-6784.24320523581
0.0188978287920298,-6998.66423558583
0.0199530726901735,-7312.52591617173
0.0210511938373163,-7641.10564324167
0.0221937249745431,-7988.61619331408
0.0233822352087314,-8365.96165846428
0.0246183299249654,-8721.02363785589
0.0259036494552252,-9109.74666439136
0.0272398660128698,-9526.12839923194
0.028628685619534,-9944.81906103343
0.0300718442338173,-10400.0380953727
0.0315711091701811,-10871.8705047462
0.0331282678879143,-11330.3863327242
0.0347451404283741,-11817.9559148843
0.0364235587446418,-12033.1737866416
0.0381653779125571,-12699.6099720816
0.0399724728024421,-13405.4974997914
0.0418467177591018,-13825.35551523
0.0437900021921686,-14305.6390382047
0.0458042179636885,-14866.4916758672
0.0478912506295007,-15460.3620960233
0.0500529771619965,-16065.8983661388
0.0522912668259809,-16690.4335624888
0.054607962610397,-17334.7876028661
0.0570048871841882,-17995.0746230409
0.0594838188976782,-18654.7421809123
0.0620465128032592,-19323.5187259815
0.0646946551105663,-19974.8792633889
0.0674299040016484,-20715.3353568036
0.0702538206130378,-21484.0893670921
0.073167904770924,-22121.9950230452
0.0761735779994276,-22999.9950144193
0.079272161448877,-23939.7411888558
0.0824648816764993,-24655.6155874557
0.0857528373636602,-25439.4507646891
0.0891370173586239,-26540.2118584295
0.0926182694958627,-28154.1570108524
0.0961972930636439,-30378.9779852726
0.0998746433585128,-32563.1902325354
0.103650702957016,-34532.3883015923
0.107525677686738,-36493.5574794109
0.111499587867678,-37438.2353118951
0.115572253772942,-40735.1710455632
0.119743299482534,-10051.0046153236
0.124012125030945,7693.79246013891
0.128377913238873,15072.2553510633
0.132839613422194,25601.3800035832
0.13739594086644,28562.6638456951
0.142045363513699,30846.8127781223
0.146786109144682,32062.1877116752
0.151616140854586,35199.6011381629
0.156533183854473,38231.5744295297
0.161534695516787,38322.6625736216
0.166617884293977,39800.4663138981
0.171779700434354,40329.4552382971
0.177016857177958,41668.8473557592
0.182325801327592,42291.1329083615
0.187702759143989,43389.6699798699
0.193143717777545,44251.2449613228
0.198644438756585,44761.9238684517
0.204200484263232,46108.795965957
0.209807206097543,44232.029961498
0.215459775631989,47324.419771173
0.22115320062801,46608.1869934965
0.226882326812566,47521.8461609399
0.23264187326296,48547.5267090574
0.238426437837191,49102.3594087646
0.24423053028153,49404.2224851479
0.250048572230528,50195.9334902763
0.255874960093908,49939.7680777423
0.261704011278635,50793.833912937
0.267530060008226,51091.708296685
0.273347458724129,51404.5711765634
0.279150603660893,51548.5367141836
0.284933906818587,51533.2914607199
0.290691888804174,52073.2316687689
0.296419142045303,52535.5568209547
0.302110355314455,51909.1246387423
0.307760487149621,52168.4710564069
0.313364506599137,52540.9581896383
0.318917550876854,52702.9190305076
0.324415049734554,52764.3093394437
0.329852492482635,53094.7745094867
0.335225745052181,53019.8520427113
0.340530788988067,52893.423310136
0.345763798524825,54046.3780241287
0.350921282476289,47268.0949052977
0.356,53952.0670978236
