cfl,classification,energy_linf_error,grid_cells,min_T,min_p,min_rho,momentum_linf_error,physical,relative_density_error,relative_energy_error,relative_momentum_error,rho_linf_error,scheme,steps,t_final,u_f,validation_case
0.4,roundoff-limited / exact-source benchmark passed,0.0,20,348.55399303292677,100044.99950004995,1.0000999999999993,0.0,True,6.660672080542885e-16,0.0,0.0,6.661338147750939e-16,rusanov,5,0.0001,0.0,V1_exact_uniform
0.4,roundoff-limited / exact-source benchmark passed,1.1641532182693481e-10,20,348.5470257156584,100042.99968003193,1.0000999999999995,5.684341886080802e-14,True,4.4404480536952566e-16,3.103580960462138e-16,1.1368456403033543e-16,4.440892098500626e-16,rusanov,5,0.0001,100.0,V1_exact_uniform
0.4,roundoff-limited / exact-source benchmark passed,0.0,20,348.55399303292677,100044.99950004995,1.0000999999999993,0.0,True,6.660672080542885e-16,0.0,0.0,6.661338147750939e-16,steger-warming,5,0.0001,0.0,V1_exact_uniform
0.4,roundoff-limited / exact-source benchmark passed,1.1641532182693481e-10,20,348.5470257156584,100042.99968003193,1.0000999999999995,5.684341886080802e-14,True,4.4404480536952566e-16,3.103580960462138e-16,1.1368456403033543e-16,4.440892098500626e-16,steger-warming,5,0.0001,100.0,V1_exact_uniform
