cfl,classification,grid_cells,mach_l1_error,mach_l2_error,mach_linf_error,p_l1_error,p_l2_error,p_linf_error,physical,rho_l1_error,rho_l2_error,rho_linf_error,scheme,steps,t_final,validation_case
0.4,CFL-convergent,24,6.9264656690592e-07,8.28726856439937e-07,1.5355510850182289e-06,1.6836117915308294e-06,2.0118669083575436e-06,3.896992617605312e-06,True,1.257004494340395e-06,1.5078986133354781e-06,2.866815005357592e-06,rusanov,11,0.0002,V4_cfl_sensitivity
0.2,CFL-convergent,24,8.660452762266732e-08,1.0446803032756364e-07,1.9702974825827477e-07,2.1124284129352411e-07,2.536694019823858e-07,5.015758790390521e-07,True,1.577649622161881e-07,1.90133393384758e-07,3.687033141408784e-07,rusanov,22,0.0002,V4_cfl_sensitivity
0.1,CFL-convergent,24,1.0633742788596429e-08,1.2822143415875518e-08,2.4341401662465452e-08,2.5809897431328736e-08,3.111830639837519e-08,6.202948336189428e-08,True,1.9408148252081642e-08,2.3323718839683673e-08,4.555216321414755e-08,rusanov,43,0.0002,V4_cfl_sensitivity
0.4,CFL-convergent,24,7.085104050796134e-07,8.412787218908999e-07,1.534678140726296e-06,1.6702959084822005e-06,1.9996693634481537e-06,3.925044714871594e-06,True,1.276889449449262e-06,1.5230395281939122e-06,2.8659510639961313e-06,steger-warming,11,0.0002,V4_cfl_sensitivity
0.2,CFL-convergent,24,8.857353911584244e-08,1.0587644851399244e-07,1.963800171799429e-07,2.0930740243897476e-07,2.5163138029966254e-07,5.008843293340345e-07,True,1.5975576747477697e-07,1.9159722431875608e-07,3.6713375902616766e-07,steger-warming,22,0.0002,V4_cfl_sensitivity
0.1,CFL-convergent,24,1.0831668950487777e-08,1.3009027550083996e-08,2.4301573968019753e-08,2.562756434375801e-08,3.091227008334589e-08,6.20624702559603e-08,True,1.9545043100837378e-08,2.353562954998111e-08,4.5459872624647766e-08,steger-warming,43,0.0002,V4_cfl_sensitivity
